Site identification,Camera set date-time,Camera check date-time,Lure type,Species common name,Count of individuals,Observation date-time
Identification du Site,Appareil photo � la date et l�heure de l�installation,Appareil photo � la date et l�heure de la v�rification,Type d�app�t,Nom commun de l�esp�ce,Nombre d�individus,Date et heure de l�observation
9,23/06/2017 15:20,06/07/2017 13:55,Fish Oil,Black Bear,1,25/06/2017 18:02
9,04/08/2017 14:15,17/08/2017 13:40,Anis Oil,Black Bear,2,10/08/2017 13:05
9,24/07/2015 9:45,06/08/2015 10:40,Control,Black Bear,1,30/07/2015 7:24
9,09/09/2015 10:15,23/09/2015 14:55,Anis Oil,Black Bear,1,20/09/2015 19:39
9,10/06/2015 9:00,29/06/2015 12:50,Fish Oil,Black Bear,1,11/06/2015 20:03
9,10/06/2015 9:00,29/06/2015 12:50,Fish Oil,Black-tailed Deer,1,26/06/2015 0:23
9,10/06/2015 9:00,29/06/2015 12:50,Fish Oil,Black-tailed Deer,1,21/06/2015 1:23
10,07/07/2017 12:45,20/07/2017 13:15,Fish Oil,Black Bear,1,18/07/2017 8:54
10,07/07/2017 12:45,20/07/2017 13:15,Fish Oil,Black Bear,1,12/07/2017 11:45
10,07/07/2017 12:45,20/07/2017 13:15,Fish Oil,Black Bear,1,16/07/2017 11:26
10,18/08/2017 14:30,01/09/2017 15:00,Control,Pine Marten,1,30/08/2017 6:44
10,18/08/2017 14:30,01/09/2017 15:00,Control,Pine Marten,1,31/08/2017 8:43
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,29/05/2016 8:49
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,01/06/2016 11:50
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,01/06/2016 5:22
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,29/05/2016 16:18
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,01/06/2016 5:40
10,25/05/2016 16:15,07/06/2016 12:00,Control,Black Bear,1,29/05/2016 17:28
10,26/05/2017 15:50,08/06/2017 14:10,Control,Wolf,2,31/05/2017 12:29
11,08/06/2016 14:15,21/06/2016 13:40,Control,Black Bear,1,10/06/2016 11:35
11,08/06/2016 14:15,21/06/2016 13:40,Control,Black Bear,1,10/06/2016 8:09
11,08/06/2016 14:15,21/06/2016 13:40,Control,Black Bear,1,11/06/2016 16:05
11,08/06/2016 14:15,21/06/2016 13:40,Control,Black Bear,1,16/06/2016 9:45
11,08/06/2016 14:15,21/06/2016 13:40,Control,Wolf,2,10/06/2016 5:48
11,09/06/2016 14:15,21/06/2016 13:40,Control,Black-tailed Deer,2,16/06/2016 8:13
11,09/06/2016 14:15,21/06/2016 13:40,Control,Black-tailed Deer,2,18/06/2016 5:56
11,09/06/2016 14:15,21/06/2016 13:40,Control,Black-tailed Deer,2,18/06/2016 7:47
11,09/06/2016 14:15,21/06/2016 13:40,Control,Black Bear,1,21/06/2016 8:30
11,26/05/2017 15:20,08/06/2017 13:50,Control,Black Bear,1,29/05/2017 11:29
12,09/05/2014 14:28,22/05/2014 10:35,Anis Oil,Black Bear,1,12/05/2014 20:12
12,09/05/2014 14:28,22/05/2014 10:35,Anis Oil,Black Bear,1,14/05/2014 21:02
12,09/05/2014 14:28,22/05/2014 10:35,Anis Oil,Black Bear,1,15/05/2014 18:56
12,09/05/2014 14:28,22/05/2014 10:35,Anis Oil,Wolf,1,11/05/2014 7:15
12,25/06/2014 10:15,09/07/2014 10:20,Fish Oil,Black Bear,1,01/07/2014 20:40
12,25/06/2014 10:15,09/07/2014 10:20,Fish Oil,Black Bear,1,01/07/2014 18:06
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,08/08/2014 6:01
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,09/08/2014 15:00
12,07/08/2014 13:45,20/08/2014 10:15,Control,Wolf,1,11/08/2014 13:43
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,12/08/2014 14:54
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,14/08/2014 20:13
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,16/08/2014 5:40
12,07/08/2014 13:45,20/08/2014 10:15,Control,Black Bear,1,19/08/2014 20:35
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,11/06/2017 17:54
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,15/06/2017 12:59
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,19/06/2017 6:23
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,22/06/2017 19:09
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,22/06/2017 20:02
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,23/06/2017 8:35
12,09/06/2017 14:10,23/06/2017 15:25,Control,Black Bear,1,11/06/2017 16:32
12,20/07/2017 13:00,04/08/2017 13:15,Control,Black-tailed Deer,1,25/07/2017 13:28
12,20/07/2017 13:00,04/08/2017 13:15,Control,Red Squirrel,1,29/07/2017 17:08
12,20/07/2017 13:00,04/08/2017 13:15,Control,Black Bear,1,25/07/2017 18:12
12,11/05/2015 10:30,27/05/2015 12:15,Control,Black Bear,1,12/05/2015 15:58
12,11/05/2015 10:30,27/05/2015 12:15,Control,Black Bear,2,24/05/2015 11:24
12,11/05/2015 10:30,27/05/2015 12:15,Control,Black Bear,1,24/05/2015 9:18
12,11/05/2015 10:30,27/05/2015 12:15,Control,Black Bear,1,24/05/2015 18:56
13,23/05/2014 10:55,04/06/2014 12:12,Anis Oil,Black Bear,1,02/06/2014 6:43
13,22/06/2017 13:30,06/07/2017 12:05,Control,Wolf,1,28/06/2017 8:45
13,22/06/2017 13:30,06/07/2017 12:05,Control,Black Bear,1,24/06/2017 12:40
13,22/06/2017 13:30,06/07/2017 12:05,Control,Wolf,1,06/07/2017 8:27
13,03/08/2017 12:20,17/08/2017 10:05,Control,Black Bear,1,12/08/2017 5:38
13,28/05/2015 14:10,09/06/2015 13:50,Control,Black Bear,1,31/05/2015 9:14
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,2,13/06/2016 6:09
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,21/06/2016 5:22
13,09/06/2016 12:00,22/06/2016 9:00,Control,Wolf,1,10/06/2016 14:50
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,12/06/2016 6:36
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,12/06/2016 9:02
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,16/06/2016 12:22
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,20/06/2016 22:42
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,21/06/2016 5:08
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,13/06/2016 8:31
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,20/06/2016 22:38
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,16/06/2016 12:18
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,12/06/2016 16:04
13,09/06/2016 12:00,22/06/2016 9:00,Control,Black Bear,1,19/06/2016 16:15
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,13/05/2017 11:30
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,19/05/2017 10:04
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,25/05/2017 9:53
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,13/05/2017 12:37
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,17/05/2017 14:35
13,11/05/2017 11:50,25/05/2017 14:55,Control,Black Bear,1,18/05/2017 12:59
14,07/08/2014 10:30,20/08/2014 14:55,Control,Black Bear,1,07/08/2014 13:01
14,26/05/2017 10:50,08/06/2017 11:30,Control,Black Bear,1,05/06/2017 15:23
14,26/05/2017 10:50,08/06/2017 11:30,Control,Black Bear,1,07/06/2017 18:12
14,26/05/2017 10:50,08/06/2017 11:30,Control,Black Bear,1,07/06/2017 18:13
14,26/05/2017 10:50,08/06/2017 11:30,Control,Ruffed Grouse,1,04/06/2017 15:34
14,07/07/2017 7:55,21/07/2017 7:55,Control,Black Bear,1,12/07/2017 14:19
14,18/08/2017 9:30,31/08/2017 9:10,Control,Black Bear,1,30/08/2017 12:37
14,11/05/2015 14:25,27/05/2015 8:25,Control,Black Bear,1,13/05/2015 20:23
14,11/05/2015 14:25,27/05/2015 8:25,Control,Black Bear,1,21/05/2015 15:43
15,21/08/2014 14:45,04/09/2014 16:10,Fish Oil,Red Squirrel,1,25/08/2014 6:57
15,28/05/2015 13:10,09/06/2015 12:40,Fish Oil,Black Bear,2,29/05/2015 10:55
16,07/08/2014 11:05,20/08/2014 13:20,Control,Black Bear,1,09/08/2014 7:40
16,23/06/2017 10:35,06/07/2017 16:15,Anis Oil,Black Bear,1,27/06/2017 15:54
16,07/08/2015 12:30,20/08/2015 13:35,Fish Oil,Black Bear,1,12/08/2015 18:04
16,11/05/2015 12:25,27/05/2015 10:15,Control,Black Bear,1,21/05/2015 17:37
16,10/05/2017 14:30,25/05/2017 11:25,Control,Black-tailed Deer,2,25/05/2017 9:06
17,23/06/2017 16:35,06/07/2017 15:20,Fish Oil,Black Bear,1,27/06/2017 18:06
17,23/06/2017 16:35,06/07/2017 15:20,Fish Oil,Black Bear,1,04/07/2017 15:06
17,04/08/2017 12:15,17/08/2017 15:10,Anis Oil,Black Bear,1,07/08/2017 12:12
17,10/06/2015 9:50,29/06/2015 13:25,Fish Oil,Black Bear,2,22/06/2015 19:04
17,10/05/2017 12:55,25/05/2017 10:25,Control,Black Bear,1,14/05/2017 20:26
18,07/08/2014 13:10,20/08/2014 10:38,Anis Oil,Black Bear,1,20/08/2014 8:38
18,07/08/2014 13:10,20/08/2014 10:38,Anis Oil,Black Bear,1,13/08/2014 13:02
18,23/06/2017 16:00,06/07/2017 14:50,Fish Oil,Black Bear,1,25/06/2017 8:11
18,23/06/2017 16:00,06/07/2017 14:50,Fish Oil,Black-tailed Deer,1,27/06/2017 18:00
18,23/06/2017 16:00,06/07/2017 14:50,Fish Oil,Black Bear,1,28/06/2017 19:02
18,23/06/2017 16:00,06/07/2017 14:50,Fish Oil,Black Bear,1,04/07/2017 9:15
18,23/06/2017 16:00,06/07/2017 14:50,Fish Oil,Black Bear,1,02/07/2017 17:45
18,04/08/2017 12:45,17/08/2017 15:00,Anis Oil,Black-tailed Deer,1,08/08/2017 21:19
18,04/08/2017 12:45,17/08/2017 15:00,Anis Oil,Wolf,2,11/08/2017 15:23
18,07/08/2015 13:45,20/08/2015 12:10,Control,Black Bear,1,12/08/2015 17:05
18,07/08/2015 13:45,20/08/2015 12:10,Control,Black Bear,1,16/08/2015 17:39
18,07/08/2015 13:45,20/08/2015 12:10,Control,Black Bear,2,19/08/2015 14:20
18,11/05/2015 10:55,27/05/2015 11:55,Anis Oil,Black Bear,1,17/05/2015 17:30
18,25/05/2016 12:40,07/06/2016 10:10,Control,Black Bear,1,05/06/2016 14:36
18,25/05/2016 12:40,07/06/2016 10:10,Control,Black Bear,1,05/06/2016 9:44
18,25/05/2016 12:40,07/06/2016 10:10,Control,Black Bear,1,28/05/2016 20:54
18,10/05/2017 11:50,25/05/2017 10:05,Control,Raccoon,1,24/05/2017 1:20
18,10/05/2017 11:50,25/05/2017 10:05,Control,Black Bear,3,16/05/2017 12:26
19,09/07/2014 9:55,23/07/2014 12:45,Anis Oil,Black Bear,1,11/07/2014 14:13
19,23/06/2017 14:50,06/07/2017 14:15,Control,Black Bear,1,25/06/2017 16:18
19,23/06/2017 14:50,06/07/2017 14:15,Control,Black Bear,2,29/06/2017 13:16
19,04/08/2017 13:50,17/08/2017 14:00,Control,Black Bear,1,16/08/2017 9:42
19,04/08/2017 13:50,17/08/2017 14:00,Control,Black Bear,1,10/08/2017 20:37
19,10/07/2015 11:00,23/07/2015 12:15,Control,Black Bear,1,14/07/2015 17:27
19,10/07/2015 11:00,23/07/2015 12:15,Control,Cougar,1,17/07/2015 15:12
19,21/08/2015 10:50,08/09/2015 14:15,Anis Oil,Black Bear,2,03/09/2015 15:32
19,21/08/2015 10:50,08/09/2015 14:15,Anis Oil,Black Bear,2,06/09/2015 12:52
19,21/08/2015 10:50,08/09/2015 14:15,Anis Oil,Black Bear,2,03/09/2015 10:22
19,21/08/2015 10:50,08/09/2015 14:15,Anis Oil,Black Bear,1,30/08/2015 17:17
19,21/08/2015 10:50,08/09/2015 14:15,Anis Oil,Black Bear,2,22/08/2015 12:26
19,28/05/2015 10:40,09/06/2015 10:30,Fish Oil,Black-tailed Deer,1,01/06/2015 23:33
19,10/05/2017 11:00,25/05/2017 9:35,Control,Black Bear,1,24/05/2017 21:29
20,06/06/2014 8:30,24/06/2014 9:43,Control,Black Bear,1,06/06/2014 20:02
20,24/07/2014 13:50,06/08/2014 9:13,Anis Oil,Black Bear,1,01/08/2014 7:12
20,24/07/2014 13:50,06/08/2014 9:13,Anis Oil,Black Bear,1,01/08/2014 6:49
20,27/05/2017 11:00,08/06/2017 9:35,Control,Black Bear,1,06/06/2017 13:07
